tts,weights
9.783117e+02,2.187721e-04
1.021245e+03,2.253327e-04
9.645453e+02,2.214882e-04
1.075716e+03,2.247511e-04
1.024463e+03,2.247511e-04
1.068002e+03,2.229451e-04
1.016321e+03,2.229451e-04
1.084372e+03,2.307520e-04
1.029705e+03,2.212566e-04
1.085593e+03,2.272011e-04
1.032636e+03,2.185879e-04
1.065788e+03,2.245502e-04
9.999036e+02,2.193355e-04
1.080690e+03,2.251646e-04
1.015659e+03,2.199490e-04
1.028148e+03,2.233269e-04
9.483375e+02,2.263729e-04
1.052930e+03,2.233269e-04
9.696582e+02,2.263729e-04
9.950692e+02,2.380694e-04
9.046623e+02,2.441884e-04
1.017114e+03,2.263729e-04
9.196198e+02,2.441884e-04
9.795565e+02,2.484176e-04
